Package,GitHub URL
presence.nvim,https://github.com/andweeb/presence.nvim.git
nvim-lsp-file-operations,https://github.com/antosha417/nvim-lsp-file-operations.git
gitsigns.nvim,https://github.com/lewis6991/gitsigns.nvim.git
package-info.nvim,https://github.com/vuki656/package-info.nvim.git
aerial.nvim,https://github.com/stevearc/aerial.nvim.git
nvim-vtsls,https://github.com/yioneko/nvim-vtsls.git
lazy.nvim,https://github.com/folke/lazy.nvim.git
tsc.nvim,https://github.com/dmmulroy/tsc.nvim.git
mason-lspconfig.nvim,https://github.com/williamboman/mason-lspconfig.nvim.git
nvim-lspconfig,https://github.com/neovim/nvim-lspconfig.git
nvim-autopairs,https://github.com/windwp/nvim-autopairs.git
neo-tree.nvim,https://github.com/nvim-neo-tree/neo-tree.nvim.git
nvim-nio,https://github.com/nvim-neotest/nvim-nio.git
nvim-treesitter-textobjects,https://github.com/nvim-treesitter/nvim-treesitter-textobjects.git
none-ls.nvim,https://github.com/nvimtools/none-ls.nvim.git
friendly-snippets,https://github.com/rafamadriz/friendly-snippets.git
astrocommunity,https://github.com/AstroNvim/astrocommunity.git
cmp-dap,https://github.com/rcarriga/cmp-dap.git
plenary.nvim,https://github.com/nvim-lua/plenary.nvim.git
blink.compat,https://github.com/Saghen/blink.compat.git
heirline.nvim,https://github.com/rebelot/heirline.nvim.git
astroui,https://github.com/AstroNvim/astroui.git
nvim-window-picker,https://github.com/s1n7ax/nvim-window-picker.git
catppuccin,https://github.com/catppuccin/nvim.git
astrocore,https://github.com/AstroNvim/astrocore.git
rustaceanvim,https://github.com/mrcjkb/rustaceanvim.git
clangd_extensions.nvim,https://github.com/p00f/clangd_extensions.nvim.git
cmake-tools.nvim,https://github.com/Civitasv/cmake-tools.nvim.git
obsidian.nvim,https://github.com/obsidian-nvim/obsidian.nvim.git
astrotheme,https://github.com/AstroNvim/astrotheme.git
crates.nvim,https://github.com/Saecki/crates.nvim.git
LuaSnip,https://github.com/L3MON4D3/LuaSnip.git
nui.nvim,https://github.com/MunifTanjim/nui.nvim.git
guess-indent.nvim,https://github.com/NMAC427/guess-indent.nvim.git
vim-illuminate,https://github.com/RRethy/vim-illuminate.git
lsp_signature.nvim,https://github.com/ray-x/lsp_signature.nvim.git
ctrlp.vim,https://github.com/ctrlpvim/ctrlp.vim.git
blink.cmp,https://github.com/Saghen/blink.cmp.git
neogit,https://github.com/NeogitOrg/neogit.git
vim-wakatime,https://github.com/wakatime/vim-wakatime.git
quickgd.nvim,https://github.com/QuickGD/quickgd.nvim.git
mason-tool-installer.nvim,https://github.com/WhoIsSethDaniel/mason-tool-installer.nvim.git
nvim-jdtls,https://github.com/mfussenegger/nvim-jdtls.git
toggleterm.nvim,https://github.com/akinsho/toggleterm.nvim.git
better-escape.nvim,https://github.com/max397574/better-escape.nvim.git
nvim-highlight-colors,https://github.com/brenoprata10/nvim-highlight-colors.git
nvim-dap,https://github.com/mfussenegger/nvim-dap.git
mason.nvim,https://github.com/williamboman/mason.nvim.git
mini.icons,https://github.com/echasnovski/mini.icons.git
nvim-treesitter,https://github.com/nvim-treesitter/nvim-treesitter.git
AstroNvim,https://github.com/AstroNvim/AstroNvim.git
lazydev.nvim,https://github.com/folke/lazydev.nvim.git
astrolsp,https://github.com/AstroNvim/astrolsp.git
neoconf.nvim,https://github.com/folke/neoconf.nvim.git
snacks.nvim,https://github.com/folke/snacks.nvim.git
nvim-dap-ui,https://github.com/rcarriga/nvim-dap-ui.git
todo-comments.nvim,https://github.com/folke/todo-comments.nvim.git
nvim-ts-autotag,https://github.com/windwp/nvim-ts-autotag.git
which-key.nvim,https://github.com/folke/which-key.nvim.git
resession.nvim,https://github.com/stevearc/resession.nvim.git
smart-splits.nvim,https://github.com/mrjones2014/smart-splits.nvim.git
mason-null-ls.nvim,https://github.com/jay-babu/mason-null-ls.nvim.git
mason-nvim-dap.nvim,https://github.com/jay-babu/mason-nvim-dap.nvim.git
